date,Ananea,Arapa,Ayaviri,Capachica,Chuquibambilla,Huancane,Lampa,Pucara,Putina
1964-01-01,,116,68,114.2,,68,43,50.42,67.5
1964-02-01,116.1,85.3,58,182.2,,81,123.4,61.21,71
1964-03-01,,149.2,,,,,128.6,155.21,111
1964-04-01,,54.5,,108.4,,27,36.5,45.02,72.5
1964-05-01,7.2,9,,,,22.6,16.5,8.71,17.5
1964-06-01,7.3,0,,0,,0,0,0,0
1964-07-01,0,0,,0,,0,0,0,0
1964-08-01,0,4.7,,4,,2.2,0,2.5,1
1964-09-01,34.2,53.5,15.6,38.4,,16,15.9,31.81,16
1964-10-01,46.8,29.5,23.5,,,13.5,20.4,,45
1964-11-01,58.4,49.5,51.5,103.4,,81.4,63,46.9,80
1964-12-01,70.9,,,117.8,,,54.1,,92.5
1965-01-01,147.2,121.1,159.4,213.3,,177,157.9,145.73,194.5
1965-02-01,71.9,56.4,89,187.8,,105,90.5,62.38,93.5
1965-03-01,86.5,148.6,192.6,248.2,,105,99.1,151.9,161
1965-04-01,37.6,34,22,116.8,,18.8,31,45.6,39.5
1965-05-01,0,2,0,15.9,,3.5,0,0,0
1965-06-01,0,0,0,0,,0,0,0,0
1965-07-01,3.2,3,0,5,,5.5,0,0,0
1965-08-01,13,0.5,0,0,,2,0,0,0.5
1965-09-01,35.9,20.5,2.5,,,22,8.5,11.2,23
1965-10-01,20.6,19.5,11.3,24.4,,23,23,94.8,21.5
1965-11-01,52.2,60.6,69,39.7,,75,54,55.5,99.3
1965-12-01,64.7,128.6,168,190.4,,200,149,232.5,163.3
1966-01-01,50.3,73.9,58,54,,91,37,57.8,66.7
1966-02-01,140.4,100.1,84,103.8,,123,98,149.2,151.1
1966-03-01,33.8,64.8,74,49.4,,123,53,134.6,66.4
1966-04-01,,15.7,14,5.7,,16.5,14,2.3,32.2
1966-05-01,35.5,,21.5,,,,,22.01,41.9
1966-06-01,0,0,0,0,,0,0,0,0
1966-07-01,0,0,0,0.9,,0,0,0.01,0
1966-08-01,0,2.5,0,0,,0,0,0,0
1966-09-01,23.7,13,5,16.3,,11.6,18.3,0.13,26
1966-10-01,65.6,33.3,73.5,29.4,,37.5,31.72,87.41,43.4
1966-11-01,77.5,63.2,65,,,63.2,64.72,62.2,95.5
1966-12-01,101.6,83.9,86,99.4,,84.4,83.66,91.7,48.2
1967-01-01,40.1,58.1,75,49.2,,,67.61,61.53,41.2
1967-02-01,76.2,109,104,136.1,,76,111.7,156.12,85.1
1967-03-01,66,100.6,85.5,217.9,,78,128.83,187.43,153.8
1967-04-01,,5.5,32.5,36.4,,7,14.31,0.9,10
1967-05-01,20.8,25.5,9.2,5.7,,29,12.71,18.31,26
1967-06-01,0,0.5,0,1,,1,0.6,0,0
1967-07-01,26.5,18,,8.8,11.3,,4.9,7.4,23
1967-08-01,24,19.6,14.1,20.4,,16.5,5.2,7.4,30
1967-09-01,32,69.5,32.5,,,62,61.61,28.09,
1967-10-01,48.2,65.4,102.9,22.7,,47,58.51,86.95,87.4
1967-11-01,54.9,14.2,35.5,34.1,,7.3,7.91,33.92,25.2
1967-12-01,151.7,154.4,145,143.9,,136.2,168.52,205.2,178.3
1968-01-01,183.9,109.7,139.7,104.8,,92.2,97.93,191.81,79.6
1968-02-01,175.9,144.3,170.7,178.9,,,199.42,214.81,126.2
1968-03-01,89.7,83.2,105.5,192.3,,89.2,73.42,87.64,72
1968-04-01,11.2,16.6,6.5,43.1,,43.7,54,19.83,48.1
1968-05-01,2,15.4,1.3,21.4,,11.5,4.4,10.14,0.7
1968-06-01,0,4.5,0,17.7,,5.4,2.2,0.01,0.4
1968-07-01,22.2,9.5,,1.8,11,13.4,5.8,8.5,45.4
1968-08-01,36,5.9,5,2.1,,12.2,3,19.31,1.1
1968-09-01,3.7,10.6,24.8,35,,57,27,17.56,56.4
1968-10-01,4.7,55.5,21.3,,,53.9,53.12,57.85,49
